slug,path,cluster,priority,title,primary_keyword,status,publish_date,refresh_due,gsc_clicks_30d,gsc_clicks_90d,notes
emerald-cut-engagement-rings,/blog/emerald-cut-engagement-rings/,4 Styles,P2,Emerald cut engagement rings,emerald cut engagement ring,backlog,,,,,
pear-shaped-engagement-rings,/blog/pear-shaped-engagement-rings/,4 Styles,P2,"Pear shaped engagement rings: the tip problem, solved",pear engagement ring,backlog,,,,,
radiant-cut-engagement-rings,/blog/radiant-cut-engagement-rings/,4 Styles,P2,Radiant cut engagement rings,radiant cut engagement ring,backlog,,,,,
marquise-engagement-rings,/blog/marquise-engagement-rings/,4 Styles,P2,Marquise engagement rings,marquise engagement ring,backlog,,,,,
three-stone-engagement-rings,/blog/three-stone-engagement-rings/,4 Styles,P2,Three stone engagement rings: side stone ratios,three stone engagement ring,backlog,,,,,
solitaire-engagement-rings,/blog/solitaire-engagement-rings/,4 Styles,P2,Solitaire engagement rings: the simplest ring is the hardest,solitaire engagement ring custom,backlog,,,,,
cigar-band-engagement-rings,/blog/cigar-band-engagement-rings/,4 Styles,P3,Cigar band and wide band engagement rings,cigar band engagement ring,backlog,,,,,
art-deco-engagement-rings,/blog/art-deco-engagement-rings/,4 Styles,P3,"Vintage inspired and Art Deco engagement rings, made new",art deco engagement ring custom,backlog,,,,,
cathedral-vs-low-profile-setting,/blog/cathedral-vs-low-profile-setting/,4 Styles,P3,Cathedral vs low-profile settings,cathedral setting vs low profile,backlog,,,,,
yellow-gold-lab-diamond-rings,/blog/yellow-gold-lab-diamond-rings/,4 Styles,P3,Yellow gold engagement rings with lab diamonds,yellow gold lab diamond ring,backlog,,,,,
mens-engagement-rings,/blog/mens-engagement-rings/,4 Styles,P3,Signet and men's engagement rings,mens engagement ring,backlog,,,,,
igi-vs-gia-lab-grown,/blog/igi-vs-gia-lab-grown/,5 Lab diamonds,P1,IGI vs GIA for lab grown diamonds in 2026,igi vs gia lab grown,published,2026-09-07,,,,
lab-diamond-vs-moissanite,/blog/lab-diamond-vs-moissanite/,5 Lab diamonds,P1,Lab diamond vs moissanite: the honest comparison,lab diamond vs moissanite,published,2026-09-07,,,,
lab-diamond-resale-value,/blog/lab-diamond-resale-value/,5 Lab diamonds,P1,Do lab grown diamonds hold their value? 2026 resale data,lab diamond resale value,backlog,,,,,
hpht-vs-cvd-diamonds,/blog/hpht-vs-cvd-diamonds/,5 Lab diamonds,P2,HPHT vs CVD lab diamonds: does it matter?,hpht vs cvd,backlog,,,,,
lab-diamond-fluorescence,/blog/lab-diamond-fluorescence/,5 Lab diamonds,P2,Lab diamond fluorescence: when it matters,lab diamond fluorescence,backlog,,,,,
tell-lab-diamond-from-natural,/blog/tell-lab-diamond-from-natural/,5 Lab diamonds,P2,How to tell a lab diamond from a natural one,how to tell lab grown from natural,backlog,,,,,
engagement-ring-stone-durability,/blog/engagement-ring-stone-durability/,5 Lab diamonds,P2,Engagement ring stone durability ranked,best gemstones for engagement rings,backlog,,,,,
diamond-alternatives-engagement-rings,/blog/diamond-alternatives-engagement-rings/,5 Lab diamonds,P2,"Diamond alternatives for engagement rings, ranked honestly",diamond alternatives engagement ring,backlog,,,,,
diamond-color-clarity-by-shape,/blog/diamond-color-clarity-by-shape/,5 Lab diamonds,P3,Diamond color and clarity: the grades that matter for each shape,best color clarity for oval,backlog,,,,,
natural-diamond-prices-2026,/blog/natural-diamond-prices-2026/,5 Lab diamonds,P3,Natural diamond prices in 2026,natural diamond price 2026,backlog,,,,,
recycled-diamond-engagement-rings,/blog/recycled-diamond-engagement-rings/,5 Lab diamonds,P3,Recycled and reclaimed diamonds,recycled diamond engagement ring,backlog,,,,,
reset-heirloom-diamond,/blog/reset-heirloom-diamond/,6 Heirloom,P1,"Resetting an heirloom diamond: cost, process, before and after",reset heirloom diamond,backlog,,,,,
redesign-heirloom-ring,/blog/redesign-heirloom-ring/,6 Heirloom,P2,"Redesigning grandma's ring: what to keep, what to change",redesign heirloom ring,backlog,,,,,
combine-two-rings-into-one,/blog/combine-two-rings-into-one/,6 Heirloom,P2,Can you combine stones from two family rings into one?,combine two rings into one,backlog,,,,,
upgrade-engagement-ring,/blog/upgrade-engagement-ring/,6 Heirloom,P3,"Upgrading an engagement ring: reset, trade up, or add a band?",upgrade engagement ring,backlog,,,,,
is-my-heirloom-diamond-real,/blog/is-my-heirloom-diamond-real/,6 Heirloom,P3,"Is my heirloom diamond real, and what is it worth?",is my diamond real,backlog,,,,,
concierge-vs-blue-nile-james-allen-local-jeweler,/blog/concierge-vs-blue-nile-james-allen-local-jeweler/,7 Comparisons,P1,Concierge vs Blue Nile / James Allen vs a local jeweler,where to buy custom engagement ring,backlog,,,,,
ring-mint-vs-ring-concierge,/blog/ring-mint-vs-ring-concierge/,7 Comparisons,P1,"Ring Mint vs Ring Concierge: different companies, different models",ring concierge alternatives,published,2026-09-07,,,,
best-online-custom-engagement-ring-designers,/blog/best-online-custom-engagement-ring-designers/,7 Comparisons,P1,Best online custom engagement ring designers in 2026,best custom engagement ring designers online,backlog,,,,,
frank-darling-alternatives,/blog/frank-darling-alternatives/,7 Comparisons,P2,Frank Darling alternatives,frank darling alternatives,backlog,,,,,
goodstone-alternatives,/blog/goodstone-alternatives/,7 Comparisons,P2,GOODSTONE alternatives,goodstone alternatives,backlog,,,,,
brilliant-earth-alternatives,/blog/brilliant-earth-alternatives/,7 Comparisons,P2,Brilliant Earth alternatives for custom rings,brilliant earth alternatives,backlog,,,,,
is-ring-mint-legit,/blog/is-ring-mint-legit/,7 Comparisons,P2,"Is Ring Mint legit? Reviews, process, what to expect",ring mint reviews,backlog,,,,,
what-is-engagement-ring-concierge,/blog/what-is-engagement-ring-concierge/,7 Comparisons,P2,What is an engagement ring concierge?,engagement ring concierge,backlog,,,,,
online-custom-jeweler-vs-etsy,/blog/online-custom-jeweler-vs-etsy/,7 Comparisons,P3,Online custom jeweler vs Etsy custom ring,etsy custom engagement ring vs jeweler,backlog,,,,,
best-place-buy-lab-diamond-ring,/blog/best-place-buy-lab-diamond-ring/,7 Comparisons,P3,Best places to buy a lab grown diamond engagement ring,best place to buy lab grown diamond ring,backlog,,,,,
holiday-proposal-ring-deadlines,/blog/holiday-proposal-ring-deadlines/,8 Logistics,P1,Christmas and New Year proposal: order-by dates for a custom ring,christmas proposal ring deadline,published,2026-09-07,2027-08-15,,,
engagement-ring-timeline,/blog/engagement-ring-timeline/,8 Logistics,P2,Engagement ring timeline: when to start,when to buy engagement ring before proposal,backlog,,,,,
valentines-proposal-ring-timeline,/blog/valentines-proposal-ring-timeline/,8 Logistics,P2,Valentine's Day proposal timeline,valentines engagement ring order by,backlog,,2027-09-15,,,
placeholder-engagement-ring,/blog/placeholder-engagement-ring/,8 Logistics,P2,Should you propose with a placeholder ring?,placeholder engagement ring,backlog,,,,,
engagement-ring-shopping-together,/blog/engagement-ring-shopping-together/,8 Logistics,P3,Engagement ring shopping together vs surprise,engagement ring shopping together,backlog,,,,,
clean-lab-diamond-ring,/blog/clean-lab-diamond-ring/,8 Logistics,P3,How to care for a lab diamond ring,how to clean lab diamond ring,backlog,,,,,
she-doesnt-like-the-ring,/blog/she-doesnt-like-the-ring/,8 Logistics,P3,What to do if she does not like the ring,she doesnt like the engagement ring,backlog,,,,,
gemstones,/gemstones/,10 Gemstones,P1,Gemstone library (hub),engagement ring gemstones,backlog,,,,,
sapphire-engagement-rings,/gemstones/sapphire-engagement-rings/,10 Gemstones,P1,Sapphire engagement rings,sapphire engagement ring,backlog,,,,,
teal-sapphire-engagement-rings,/gemstones/teal-sapphire-engagement-rings/,10 Gemstones,P1,Teal sapphire engagement rings,teal sapphire engagement ring,backlog,,,,,
alexandrite-engagement-rings,/gemstones/alexandrite-engagement-rings/,10 Gemstones,P1,Alexandrite engagement rings,alexandrite engagement ring,backlog,,,,,
spinel-engagement-rings,/gemstones/spinel-engagement-rings/,10 Gemstones,P1,Spinel engagement rings,spinel engagement ring,backlog,,,,,
emerald-engagement-rings,/gemstones/emerald-engagement-rings/,10 Gemstones,P1,Emerald engagement rings,emerald engagement ring,backlog,,,,,
moissanite-engagement-rings,/gemstones/moissanite-engagement-rings/,10 Gemstones,P1,Moissanite engagement rings,moissanite engagement ring,backlog,,,,,
colored-lab-diamond-engagement-rings,/gemstones/colored-lab-diamond-engagement-rings/,10 Gemstones,P1,Colored lab diamond engagement rings,colored lab diamond engagement ring,backlog,,,,,
ruby-engagement-rings,/gemstones/ruby-engagement-rings/,10 Gemstones,P2,Ruby engagement rings,ruby engagement ring,backlog,,,,,
padparadscha-sapphire-engagement-rings,/gemstones/padparadscha-sapphire-engagement-rings/,10 Gemstones,P2,Padparadscha sapphire engagement rings,padparadscha sapphire engagement ring,backlog,,,,,
peach-sapphire-engagement-rings,/gemstones/peach-sapphire-engagement-rings/,10 Gemstones,P2,Peach sapphire engagement rings,peach sapphire engagement ring,backlog,,,,,
pink-sapphire-engagement-rings,/gemstones/pink-sapphire-engagement-rings/,10 Gemstones,P2,Pink sapphire engagement rings,pink sapphire engagement ring,backlog,,,,,
yellow-sapphire-engagement-rings,/gemstones/yellow-sapphire-engagement-rings/,10 Gemstones,P2,Yellow sapphire engagement rings,yellow sapphire engagement ring,backlog,,,,,
white-sapphire-engagement-rings,/gemstones/white-sapphire-engagement-rings/,10 Gemstones,P2,White sapphire engagement rings,white sapphire engagement ring,backlog,,,,,
tourmaline-engagement-rings,/gemstones/tourmaline-engagement-rings/,10 Gemstones,P2,Tourmaline engagement rings,tourmaline engagement ring,backlog,,,,,
paraiba-tourmaline-engagement-rings,/gemstones/paraiba-tourmaline-engagement-rings/,10 Gemstones,P2,Paraiba tourmaline engagement rings,paraiba tourmaline engagement ring,backlog,,,,,
aquamarine-engagement-rings,/gemstones/aquamarine-engagement-rings/,10 Gemstones,P2,Aquamarine engagement rings,aquamarine engagement ring,backlog,,,,,
morganite-engagement-rings,/gemstones/morganite-engagement-rings/,10 Gemstones,P2,Morganite engagement rings,morganite engagement ring,backlog,,,,,
tanzanite-engagement-rings,/gemstones/tanzanite-engagement-rings/,10 Gemstones,P2,Tanzanite engagement rings,tanzanite engagement ring,backlog,,,,,
tsavorite-garnet-engagement-rings,/gemstones/tsavorite-garnet-engagement-rings/,10 Gemstones,P2,Tsavorite garnet engagement rings,tsavorite garnet engagement ring,backlog,,,,,
garnet-engagement-rings,/gemstones/garnet-engagement-rings/,10 Gemstones,P2,Garnet engagement rings,garnet engagement ring,backlog,,,,,
opal-engagement-rings,/gemstones/opal-engagement-rings/,10 Gemstones,P2,Opal engagement rings,opal engagement ring,backlog,,,,,
moonstone-engagement-rings,/gemstones/moonstone-engagement-rings/,10 Gemstones,P2,Moonstone engagement rings,moonstone engagement ring,backlog,,,,,
salt-and-pepper-diamond-engagement-rings,/gemstones/salt-and-pepper-diamond-engagement-rings/,10 Gemstones,P2,Salt and pepper diamond engagement rings,salt and pepper diamond engagement ring,backlog,,,,,
champagne-diamond-engagement-rings,/gemstones/champagne-diamond-engagement-rings/,10 Gemstones,P2,Champagne diamond engagement rings,champagne diamond engagement ring,backlog,,,,,
black-diamond-engagement-rings,/gemstones/black-diamond-engagement-rings/,10 Gemstones,P2,Black diamond engagement rings,black diamond engagement ring,backlog,,,,,
amethyst-engagement-rings,/gemstones/amethyst-engagement-rings/,10 Gemstones,P3,Amethyst engagement rings,amethyst engagement ring,backlog,,,,,
citrine-engagement-rings,/gemstones/citrine-engagement-rings/,10 Gemstones,P3,Citrine engagement rings,citrine engagement ring,backlog,,,,,
blue-topaz-engagement-rings,/gemstones/blue-topaz-engagement-rings/,10 Gemstones,P3,Blue topaz engagement rings,blue topaz engagement ring,backlog,,,,,
imperial-topaz-engagement-rings,/gemstones/imperial-topaz-engagement-rings/,10 Gemstones,P3,Imperial topaz engagement rings,imperial topaz engagement ring,backlog,,,,,
peridot-engagement-rings,/gemstones/peridot-engagement-rings/,10 Gemstones,P3,Peridot engagement rings,peridot engagement ring,backlog,,,,,
zircon-engagement-rings,/gemstones/zircon-engagement-rings/,10 Gemstones,P3,Zircon engagement rings,zircon engagement ring,backlog,,,,,
chrysoberyl-engagement-rings,/gemstones/chrysoberyl-engagement-rings/,10 Gemstones,P3,Chrysoberyl engagement rings,chrysoberyl engagement ring,backlog,,,,,
iolite-engagement-rings,/gemstones/iolite-engagement-rings/,10 Gemstones,P3,Iolite engagement rings,iolite engagement ring,backlog,,,,,
kunzite-engagement-rings,/gemstones/kunzite-engagement-rings/,10 Gemstones,P3,Kunzite engagement rings,kunzite engagement ring,backlog,,,,,
sunstone-engagement-rings,/gemstones/sunstone-engagement-rings/,10 Gemstones,P3,Sunstone engagement rings,sunstone engagement ring,backlog,,,,,
labradorite-engagement-rings,/gemstones/labradorite-engagement-rings/,10 Gemstones,P3,Labradorite engagement rings,labradorite engagement ring,backlog,,,,,
jade-engagement-rings,/gemstones/jade-engagement-rings/,10 Gemstones,P3,Jade engagement rings,jade engagement ring,backlog,,,,,
pearl-engagement-rings,/gemstones/pearl-engagement-rings/,10 Gemstones,P3,Pearl engagement rings,pearl engagement ring,backlog,,,,,
lab-created-sapphire-engagement-rings,/gemstones/lab-created-sapphire-engagement-rings/,10 Gemstones,P3,Lab created sapphire engagement rings,lab created sapphire engagement ring,backlog,,,,,
lab-created-ruby-engagement-rings,/gemstones/lab-created-ruby-engagement-rings/,10 Gemstones,P3,Lab created ruby engagement rings,lab created ruby engagement ring,backlog,,,,,
lab-created-emerald-engagement-rings,/gemstones/lab-created-emerald-engagement-rings/,10 Gemstones,P3,Lab created emerald engagement rings,lab created emerald engagement ring,backlog,,,,,
lab-created-alexandrite-engagement-rings,/gemstones/lab-created-alexandrite-engagement-rings/,10 Gemstones,P3,Lab created alexandrite engagement rings,lab created alexandrite engagement ring,backlog,,,,,
january-birthstone-engagement-rings,/gemstones/january-birthstone-engagement-rings/,10 Gemstones,P3,January birthstone engagement rings,january birthstone ring,backlog,,,,,
february-birthstone-engagement-rings,/gemstones/february-birthstone-engagement-rings/,10 Gemstones,P3,February birthstone engagement rings,february birthstone ring,backlog,,,,,
march-birthstone-engagement-rings,/gemstones/march-birthstone-engagement-rings/,10 Gemstones,P3,March birthstone engagement rings,march birthstone ring,backlog,,,,,
april-birthstone-engagement-rings,/gemstones/april-birthstone-engagement-rings/,10 Gemstones,P3,April birthstone engagement rings,april birthstone ring,backlog,,,,,
may-birthstone-engagement-rings,/gemstones/may-birthstone-engagement-rings/,10 Gemstones,P3,May birthstone engagement rings,may birthstone ring,backlog,,,,,
june-birthstone-engagement-rings,/gemstones/june-birthstone-engagement-rings/,10 Gemstones,P3,June birthstone engagement rings,june birthstone ring,backlog,,,,,
july-birthstone-engagement-rings,/gemstones/july-birthstone-engagement-rings/,10 Gemstones,P3,July birthstone engagement rings,july birthstone ring,backlog,,,,,
august-birthstone-engagement-rings,/gemstones/august-birthstone-engagement-rings/,10 Gemstones,P3,August birthstone engagement rings,august birthstone ring,backlog,,,,,
september-birthstone-engagement-rings,/gemstones/september-birthstone-engagement-rings/,10 Gemstones,P3,September birthstone engagement rings,september birthstone ring,backlog,,,,,
october-birthstone-engagement-rings,/gemstones/october-birthstone-engagement-rings/,10 Gemstones,P3,October birthstone engagement rings,october birthstone ring,backlog,,,,,
november-birthstone-engagement-rings,/gemstones/november-birthstone-engagement-rings/,10 Gemstones,P3,November birthstone engagement rings,november birthstone ring,backlog,,,,,
december-birthstone-engagement-rings,/gemstones/december-birthstone-engagement-rings/,10 Gemstones,P3,December birthstone engagement rings,december birthstone ring,backlog,,,,,
diamond-shapes,/diamond-shapes/,10 Shapes,P2,Diamond shapes (hub),diamond shapes,backlog,,,,,
round-brilliant-diamonds,/diamond-shapes/round-brilliant-diamonds/,10 Shapes,P2,Round brilliant diamonds,round brilliant diamond,backlog,,,,,
oval-diamonds,/diamond-shapes/oval-diamonds/,10 Shapes,P2,Oval diamonds,oval diamond,backlog,,,,,
cushion-diamonds,/diamond-shapes/cushion-diamonds/,10 Shapes,P2,Cushion diamonds,cushion diamond,backlog,,,,,
emerald-cut-diamonds,/diamond-shapes/emerald-cut-diamonds/,10 Shapes,P2,Emerald cut diamonds,emerald cut diamond,backlog,,,,,
radiant-diamonds,/diamond-shapes/radiant-diamonds/,10 Shapes,P2,Radiant diamonds,radiant diamond,backlog,,,,,
pear-diamonds,/diamond-shapes/pear-diamonds/,10 Shapes,P2,Pear diamonds,pear diamond,backlog,,,,,
marquise-diamonds,/diamond-shapes/marquise-diamonds/,10 Shapes,P2,Marquise diamonds,marquise diamond,backlog,,,,,
princess-diamonds,/diamond-shapes/princess-diamonds/,10 Shapes,P2,Princess diamonds,princess diamond,backlog,,,,,
asscher-diamonds,/diamond-shapes/asscher-diamonds/,10 Shapes,P2,Asscher diamonds,asscher diamond,backlog,,,,,
heart-diamonds,/diamond-shapes/heart-diamonds/,10 Shapes,P2,Heart diamonds,heart diamond,backlog,,,,,
old-european-cut-diamonds,/diamond-shapes/old-european-cut-diamonds/,10 Shapes,P2,Old european cut diamonds,old european cut diamond,backlog,,,,,
rose-cut-diamonds,/diamond-shapes/rose-cut-diamonds/,10 Shapes,P2,Rose cut diamonds,rose cut diamond,backlog,,,,,
kite-and-hexagon-diamonds,/diamond-shapes/kite-and-hexagon-diamonds/,10 Shapes,P2,Kite and hexagon diamonds,kite and hexagon diamond,backlog,,,,,
baguette-diamonds,/diamond-shapes/baguette-diamonds/,10 Shapes,P2,Baguette diamonds,baguette diamond,backlog,,,,,
wedding-bands,/wedding-bands/,11 Bands,P1,Wedding bands (hub),custom wedding bands,backlog,,,,,
fitted-wedding-bands,/blog/fitted-wedding-bands/,11 Bands,P1,Wedding bands that fit a custom engagement ring,fitted wedding band,backlog,,,,,
eternity-band-cost,/blog/eternity-band-cost/,11 Bands,P1,Eternity band cost in 2026,eternity band cost,backlog,,,,,
wedding-band-for-oval-ring,/blog/wedding-band-for-oval-ring/,11 Bands,P2,Wedding band for an oval engagement ring,wedding band for oval engagement ring,backlog,,,,,
wedding-band-for-pear-ring,/blog/wedding-band-for-pear-ring/,11 Bands,P2,Wedding band for a pear shaped engagement ring,band for pear shaped ring,backlog,,,,,
wedding-band-for-emerald-cut-ring,/blog/wedding-band-for-emerald-cut-ring/,11 Bands,P2,Wedding band for an emerald cut engagement ring,band for emerald cut ring,backlog,,,,,
wedding-band-for-toi-et-moi-ring,/blog/wedding-band-for-toi-et-moi-ring/,11 Bands,P2,Wedding band for a toi et moi ring,toi et moi wedding band,backlog,,,,,
